detector,precision,recall,f1,false_alarms,true_positives,false_negatives,predicted_anomalies
Rolling IQR,0.14986209010113394,0.4312169312169312,0.2224243802592677,5548,978,1290,6526
Isolation Forest,0.3246779388083736,0.7111992945326279,0.44582642343836376,3355,1613,655,4968
